"Metric Subcategory ID","Category","Subcategory","Description","Keywords","# Protocols","Subcategory Foci","Most Recent Commenter","Count of Comments/Replies"
"1","Amphibians","Abundance of Amphibians","The number (count) of amphibian species or species within a particular life stage that are present within a specified area.","frogs, salamanders, newts, population size, herptiles, distribution, estimate, surveys, trapping, tagging, netting, sampling, calls, acoustic, eggs, tadpoles, larvae, adults","19","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"164","Amphibians","Composition: Amphibian Species Assemblage","Amphibian species density or diversity.","frogs, salamanders, newts, herptiles, count, number, occurrence, hybrids, subspecies, biodiversity, richness, communities, identification, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"251","Amphibians","Age:  Amphibians","The length of time that an amphibian species in a particular life stage has existed or the total duration of life, usually represented in years.","absolute, frogs, salamanders, newts, herptiles, mark-recapture, bone layers, skeletochronology, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"257","Amphibians","Age Structure:  Amphibians","Age composition of the amphibian species used to represent a proportion for a specific life stage. ","cohort, generation, years, absolute, frogs, salamanders, newts, herptiles, mark-recapture, bone layers, skeletochronology, eggs, tadpoles, larvae, adults","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"267","Amphibians","Body Temperature:  Amphibians","Measurement of amphibian body temperature in Celsius or Fahrenheit.","frogs, salamanders, newts, herptiles, thermometer, infrared, biometric, thermistor","0",,"&lt;none&gt;","0 comments, 0 replies"
"271","Amphibians","Carrying Capacity:  Amphibians","The population size of the amphibian species that the environment can sustain in the long term, given the food, habitat, water, and other necessities available in the environment.","K, number, abundance, count, intrinsic potential, frogs, salamanders, newts, herptiles, equilibrium","0",,"&lt;none&gt;","0 comments, 0 replies"
"264","Amphibians","Diet:  Amphibians","The identification of food consumed by amphibians by type and /or mass.","frogs, salamanders, newts, herptiles, prey, stomach contents, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"283","Amphibians","Condition of Life Stage:  Amphibians","The condition (or well-being) of an amphibian species at a particular life stage; may be based upon an index of multiple metrics, from size, length, stress, disease, parasites, toxins, or other variables.","frogs, salamanders, newts, herptiles, factor, health, weight, mass, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"291","Amphibians","Density of Amphibians","The abundance of a single amphibian species type in a specified unit of area.","frogs, salamanders, newts, herptiles, concentration, distribution, number, count, size, estimates, population size, trapping, tagging, netting, sampling, calls, acoustic, eggs, tadpoles, larvae, adults","0",,"&lt;none&gt;","0 comments, 0 replies"
"302","Amphibians","Distribution of Amphibian Species","Spatial arrangement of amphibian species or life stage within a population’s range by habitat. Distribution also captures the geographic range of individuals within a specified area, e.g., watershed or basin.","frogs, salamanders, newts, herptiles, migrants, clumped, random, even, GIS, eggs, tadpoles, larvae, adults","0",,"&lt;none&gt;","0 comments, 0 replies"
"309","Amphibians","Diversity of Amphibians:  Change","Change in life history or genetic diversity of individual amphibian species by changes in abundance of specific species.","frogs, salamanders, newts, herptiles, biodiversity","0",,"&lt;none&gt;","0 comments, 0 replies"
"315","Amphibians","ELISA Values: Amphibians","Enzyme-Linked-Immunosorbent Serologic Assay: An assay that relies on an enzymatic conversion reaction and is used to detect the presence of specific substances (such as enzymes, viruses, antibodies, or bacteria).","frogs, salamander, newt, herptiles, BKD, incidence, enzyme, immunosorbent","0",,"&lt;none&gt;","0 comments, 0 replies"
"321","Amphibians","Fecundity: Amphibians","Fecundity is the number of eggs produced by a mature adult female.  ","productivity, age, offspring, frogs, salamanders, newts, herptiles, reproduction, egg laying, demography, population viability analysis, PVA, count","0",,"&lt;none&gt;","0 comments, 0 replies"
"326","Amphibians","Food Web Interaction:  Amphibians","Amphibian species' diet and prey species composition and abundance as an indicator of trophic and food web relationships.","frogs, salamanders, newts, herptiles, competition, intraspecific, interspecific, capture, success, predation, stomach, contents, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"331","Amphibians","Foraging Success:  Amphibians","Index of food consumption habits of amphibian species.","prey, composition, competition, capture, success, stomach, contents, frogs, salamanders, newts, herptiles, diet, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"337","Amphibians","Genetics:  Amphibian Diversity, Fitness, or Variation","Genetic characterization (via DNA microsatellites) describes lineage and within- and between-population genetic variability.","genotyping, GSI, frogs, salamanders, newts, herptiles, biodiversity, alleles, PCR, loci, sequencing, intraspecific, interspecific","0",,"&lt;none&gt;","0 comments, 0 replies"
"343","Amphibians","Growth Rate:  Amphibians","The length or amount of weight gained or lost on an amphibian individual or species life stage per unit time.","mass, change, bioenergetics, bio-energetics, metabolism, daily average, metabolic, frogs, salamanders, newts, herptiles, biomass, condition, eggs, tadpoles, larvae, adults, biometrics, scale, rulers, calipers, snout, vent","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"360","Amphibians","Abundance of Invasive Amphibian Species","The number (count) of individual amphibians by species within a particular life stage that are present within a specified area that are not native or have expanded their presence beyond normal conditions within a specified area.","frogs, salamanders, newts, herptiles, population size, distribution, estimate, surveys, trapping, tagging, netting, sampling, calls, acoustic, eggs, tadpoles, larvae, adults, alien, non-native, non-indigenous, exotic, introduced, nonnative","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"354","Amphibians","Length:  Amphibian Species","The length of an amphibian species at a specified life stage.","frogs, salamanders, newts, herptiles, snout, vent, total, rulers, calipers, biometric, eggs, tadpoles, larvae, adults, measurement","0",,"&lt;none&gt;","0 comments, 0 replies"
"379","Amphibians","Mark Type and Quantity: Amphibians","The act of placing a mark or tag on an amphibian species by quantity and tag type.","frogs, salamanders, newts, herptiles, mark-recapture, recapture, survival, retention, PIT, acoustic, harmonic, spaghetti, elastomer, VIE, radio, dye, clip, band, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"385","Amphibians","Migration Pathways: Amphibians","Characterizes the area or length of corridors by habitat type, where amphibian species life stages predominately are found migrating from place of origin.","frogs, salamanders, newts, herptiles, movement, barrier, PIT, radio, telemetry, transmitter, fences, traps, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"390","Amphibians","Predation Rate: Amphibians","The amount of predation on an amphibian species as a whole or on a particular life stage.","frogs, salamanders, newts, herptiles, prey, predator, mortality, number, count, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"391","Amphibians","Presence/Absence: Amphibians","Identification of amphibian species presence or absence in an area of observation.","frogs, salamanders, newts, herptiles, present, absent, occurrence, distribution, surveys,  trapping, tagging, netting, sampling, calls, acoustic","3",,"&lt;none&gt;","0 comments, 0 replies"
"397","Amphibians","Prey Availability for Amphibian Species","Type and energy content of prey items.","frogs, salamanders, newts, herptiles, diet, mass, biomass, food, bioenergetics, kCal, calories, stomach contents, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"402","Amphibians","Prey Indices: Amphibians","Rating of abundance of prey species.","frogs, salamanders, newts, herptiles, food, diet, stomach contents, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"408","Amphibians","Sex Ratio: Amphibians","The ratio of males to females within the species aggregate.","frogs, salamanders, newts, herptiles, gender, demography","0",,"&lt;none&gt;","0 comments, 0 replies"
"414","Amphibians","Index of Biotic Integrity: Amphibians","The Index of Biotic Integrity (IBI) for amphibian species evaluates observed attributes to a relative standard.","frogs, salamanders, newts, herptiles, multi-metric, multimetric, metrics, biological indicators, reference condition, diversity, biodiversity, processes","1",,"&lt;none&gt;","0 comments, 0 replies"
"416","Amphibians","Species Type: Amphibians","The type of individual amphibian species observed, where species may range from species to a specific race.","frogs, salamanders, newts, herptiles, identification, subspecies, monotypic, hybrid","0",,"&lt;none&gt;","0 comments, 0 replies"
"423","Amphibians","Productivity: Amphibians","The productivity of a species within or between generations.","frogs, salamanders, newts, herptiles, recruit, production, survival, fecundity, reproduction, demography, count, survivorship, generation, mortality, predation, population viability analysis, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"428","Amphibians","Timing of Life Stage: Amphibians","The time period an amphibian species life stage is present.","frogs, salamanders, newts, herptiles, generations, days, months, years, demography, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"434","Amphibians","Tissue Sample: Amphibians","The collection of a tissue or cells from amphibian species for analysis.","frogs, salamanders, newts, herptiles, genetics, DNA, age, aging, blood, bone, muscle, digestive, skin, molecular","0",,"&lt;none&gt;","0 comments, 0 replies"
"441","Amphibians","Disease/Parasite Concentration: Amphibians","The percentage of an amphibian species or particular life stage infected by a parasite, disease, or virus.","pathogen, infection, rate, virulence, add count, number, frogs, salamanders, newts, herptiles, viral, bacterial, mold, metazoan, trematode, chytrid, fungus, PCR, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"451","Amphibians","Weight: Amphibians","Measurement of the mass of amphibians, as individuals or of all species sampled in total.","biomass, frogs, salamanders, newts, herptiles, scale, biometrics","0",,"&lt;none&gt;","0 comments, 0 replies"
"461","Amphibians","Mark/Tag Recovery: Amphibians","The act of recovering a mark or tag on an amphibian species. ","frogs, salamanders, newts, herptiles, mark-recapture, recapture, survival, retention, PIT, acoustic, harmonic, spaghetti, elastomer, VIE, radio, dye, clip, band","0",,"&lt;none&gt;","0 comments, 0 replies"
