"Site Name","Event Name","Lat","Long","Date","State","County","Category","Protocol","Protocol Url","Study Plan","Study Plan Url","Program","Program Url","Organization","Organization Url","URL","Data Provider"
"WAM06600-001556","","48.090744","-123.472647","2009-04-12T00:00:00","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-001572","","48.14399","-123.112135","2019-08-15T00:00:00","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-000401","","45.839823","-122.521223","2017-03-16T08:23:18","Washington","Clark County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-008216","","48.303748","-119.645168","2017-03-16T08:23:34","Washington","Okanogan County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"TET00001-Eschbach_Control","Tt Hitch#3","46.70047","-120.66199","2013-07-09T15:24:00","Washington","Yakima County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"Stky-P2-Ex2","Starkey Exclosures","45.26877","-118.52765","2014-07-22T12:44:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"WAM06600-000430","","47.245745","-123.120851","2009-12-09T00:00:00","Washington","Mason County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-002490","","47.065744","-124.153484","2017-03-15T13:54:20","Washington","Grays Harbor County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-002308","","48.0122","-124.553961","2017-03-15T13:54:41","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"Stky-P2-Ex1","Starkey Exclosures","45.26594","-118.5228","2013-07-22T08:10:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
