"Subcategory Focus","Subcategory Focus Option ID","Subcategory Focus Option","Description","Keywords"
"Fish Life Stage","16","Adult - Carcass","The dead body of a fish.",
"Fish Life Stage","15","Adult - Outmigrant","Steelhead or other trout species that migrate back to the ocean after spawning. Also referred to as kelts.","kelt, live"
"Fish Life Stage","14","Adult - Pre-Spawner","Adult fish that return to spawn but have not yet done so.","holding, carcass, live"
"Fish Life Stage","12","Adult - Returner","Adult fish in the process of returning to spawning grounds.","live, jack, jenny"
"Fish Life Stage","13","Adult - Spawner","Adult fish migrants that have spawned successfully.","redd, redds, live, carcass"
"Fish Life Stage","17","Adult Fish","The fish life stage from sexual maturation to death. Adult fish typically develop unique markings that distinguish them from juveniles. Choose this life stage when dealing with multiple types of adult life stages (e.g., returners, spawners, etc.).","jack, jenny, carcass"
"Fish Life Stage","1","Egg","The first stage in a fish's life. This life stage spans from fertilization to emergence. ","redd, incubation"
"Fish Life Stage","2","Juvenile - Alevin","A larval fish that has not yet emerged from the nesting area.",
"Fish Life Stage","3","Juvenile - Fry/Parr","A juvenile fish that has fully absorbed its yolk sac and can now hunt and consume live food.","fingerling, sub-yearling"
"Fish Life Stage","5","Juvenile - Migrant","A juvenile fish that is moving upstream or downstream, including those becoming physiologically adapted to saltwater and begining migration to the saltwater environment.
","outmigrant, yearling, sub-yearling, smolt"
"Fish Life Stage","8","Juvenile - Ocean Type","Life history strategy of a species that migrates directly to the ocean. Often referred to as a Sub-Yearling.",
"Fish Life Stage","4","Juvenile - Parr","A juvenile fish that is preparing to leave the fresh waters of its home. Typically, salmonid parr have vertical markings on the flanks of their bodies and are about six inches in length.","Rearing, Yearling, Sub-Yearling"
"Fish Life Stage","9","Juvenile - Stream Type","Life history strategy of a species that delays migration and resides in the freshwater or estuary before migrating to the ocean. Often referred to as a Yearling.",
"Fish Life Stage","10","Juvenile - Sub-Adult","Salmonids that have not reached full maturation that live in the ocean or have residualized.","jack, jenny"
"Fish Life Stage","11","Juvenile Fish","The fish life stage from emergence (from egg) to sexual maturation. For salmonids, this life stage spans emergence to sub-adulthood. Chose this life stage when dealing with multiple types of juvenile life stages (e.g., parr, smolt, out-migrant, etc.).","rearing, yearling, sub-yearling"
"Fish Life Stage","101","RANGE: Adult to Adult","The adult to adult life stage range captures the multiple life stages across the life of an individual species, or the life stages across multiple generations, or cohorts of a single generation (e.g., returners to spawners, spawner to spawner, etc.). Adults are defined as: The fish life stage from sexual maturation to death. Adult fish typically develop unique markings that distinguish them from juveniles.","returns, returner, carcasses, kelts, pre-spawner, sub-adult, ratio, redd"
"Fish Life Stage","102","RANGE: Adult to Juvenile","The adult to juvenile life stage range captures the range of the adult parent to their juvenile progeny across a range of juvenile life stages. Adults are defined as: The fish life stage from sexual maturation to death. Adult fish typically develop unique markings that distinguish them from juveniles. Juveniles are defined as: The fish life stage from emergence (from egg) to sexual maturation. For salmonids, this life stage spans emergence to sub-adulthood.","returns, carcasses, kelts, sub-adults, ratio, parr, fry, smolt, outmigrant, ocean-type, stream-type, ocean, stream, redd, alevin"
"Fish Life Stage","103","RANGE: Egg to Adult","The egg to adult life stage range captures the range from the egg stage to a subsequent adult life stage of a single generation. Eggs are defined as: The first stage in a fish's life. This life stage spans from fertilization to emergence.  Adults are defined as: The fish life stage from sexual maturation to death. Adult fish typically develop unique markings that distinguish them from juveniles.","returns, carcasses, kelts, sub-adults, ratio, incubation, redd"
"Fish Life Stage","104","RANGE: Egg to Juvenile","The egg to juvenile life stage range captures range from the egg stage to a juvenile life stage of a single generation. Eggs are defined as: The first stage in a fish's life. This life stage spans from fertilization to emergence.  Juveniles are defined as: The fish life stage from emergence (from egg) to sexual maturation. For salmonids, this life stage spans emergence to sub-adulthood.","egg, aelvin, ratio, Juvenile, alevin, Parr, Fry, smolt, outmigrant, ocean-type, Stream-type, ocean, stream, redd"
"Fish Life Stage","105","RANGE: Juvenile to Adult","The juvenile to adult life stage range captures range of life stages across the juvenile life stages to a mature adult life stage, typically for a single generation (e.g., returners, spawners, etc.). Adults are defined as: The fish life stage from sexual maturation to death. Adult fish typically develop unique markings that distinguish them from juveniles. Juveniles are defined as: The fish life stage from emergence (from egg) to sexual maturation. For salmonids, this life stage spans emergence to sub-adulthood.","returns, carcasses, kelts, sub-adults, ratio, parr, fry, smolt, outmigrant, ocean-type, stream-type, ocean, stream, redd, alevin"
"Fish Life Stage","434","RANGE: Juvenile to Juvenile","The juvenile to juvenile life stage range captures the range from an early juvenile life stage to a later juvenile life stage of a single generation, or a juvenile life stage across generations. Juveniles are defined as: The fish life stage from emergence (from egg) to sexual maturation. For salmonids, this life stage spans emergence to sub-adulthood. Choose this life stage when dealing with multiple types of juvenile life stages (e.g., parr, smolt, out-migrant, etc.).","aelvin, ratio, alevin, parr, fry, smolt, outmigrant, ocean-type, stream-type, ocean, stream, redd"
"Fish Origin","441","Both","Choose this option when you are collecting or analyzing data for both hatchery and natural/wild fish.",
"Fish Origin","201","Hatchery","Derived from parents captured for hatchery reproduction.","artificial, production, broodstock, captive, supplementation"
"Fish Origin","202","Natural","Derived from parents reproducing naturally in the wild.","wild"
"Fish Origin","203","Unknown","The origin of the fish is unknown - could be Hatchery or Natural (aka Wild).",
"Habitat Type","427","Alpine","Habitat above treeline where snow is prevelant and vegetation is absent.",
"Habitat Type","401","Altered Habitat","A type of habitat that is anthropogenically changed by manipulation of natural processes.","urban, forestry, grazing, city, ag, residential, commercial, industrial, agricultural, farm, irrigated"
"Habitat Type","402","Banks","Rising ground that borders a body of water.","undercut, sluffing, slumping"
"Habitat Type","403","Beach","An accumulation of unconsolidated material (sand, gravel, angular fragments) formed by waves and wave-induced currents in the intertidal and sub-tidal zones.",
"Habitat Type","418","Channel:  Pools","Pools: 1. are depressions in the streambed that are concave in profile, laterally and longitudinally, 2. are bounded by a head crest (upstream break in streambed slope) and a tail crest (downstream break in streambed slope), 3. have a water surface gradient close to “0” and are associated with “slower” flowing water, 4. span at least 90% of the wetted channel width at any location within the pool, 5. length, measured along the thalweg, is greater than its width, measured perpendicular to the thalweg, at the widest point, and 6. maximum depth is at least 1.5 times the pool tail depth.","ephemeral pools"
"Habitat Type","419","Channel:  Riffles","Shallow rapids where the water flows swiftly over completely or partially submerged obstructions to produce surface agitation, but where standing waves are absent.",
"Habitat Type","423","Channel:  Runs/Glides","Areas of swiftly flowing water, without surface agitation or waves, which approximates uniform flow and in which the slope of the water surface is roughly parallel to the overall gradient of the stream reach.",
