metric_title,protocol_title,method_title_list
"""Abundance of Birds""","""Avian Predation on Juvenile Salmonids in the Columbia River Estuary""","[""Colony Counts - Attendance, Chronology, and Disturbance v1.0"", ""Collection of Avian Stomach Contents to Determine Diet Composition v1.0"", ""Colony Counts - Size, Productivity and Habitat Use v1.0"", ""Banding and Band Resighting for Caspian Terns and Double-Crested Cormorants v1.0"", ""Chick Carcass Survey v1.0"", ""Detecting the Formation of New Bird Colonies v1.0"", ""Recovery of Salmonid PIT Tags on Bird Colonies to Determine Predation Rates v1.0"", ""Bioenergetics Modeling to Determine Fish Consumption by Bird Colonies v1.0"", ""Fish Watch – Caspian Tern Bill Load Observations to Determine Diet Composition v1.0""]"
"""Abundance of Birds""","""Breeding Bird Point Count Monitoring on the Precious Lands Wildlife Management Area""","[""Breeding Bird Surveys Using Point Counts v1.0"", ""Reporting out summarized data from the Patuxent Wildlife Research Center Bird Count Database v1.0""]"
"""Abundance of Birds""","""Monitoring Waterfowl Abundance with Camera Traps""","[""Waterfowl abundance data analysis v1.0"", ""Waterfowl abundance counts with remote camera traps v3.0""]"
"""Abundance of Disturbance or Restoration""","""Site Level Stream Habitat Assessment Survey""","[""Calculating Amount of Spawning Habitat v1.0"", ""Percent Coniferous Cover v2.0"", ""Percent Riparian Non-Woody Cover v2.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""RBT - Wetted Site Length Calculation v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""RBT - Thalweg Depth Profile Calculation v1.0"", ""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Site Photos v2.0"", ""RBT - Wetted Area Calculation v1.0"", ""RBT - Wetted Width To Depth Ratio Profile Calculation v1.0"", ""Stream Discharge v1.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""Percent Constrained v1.0"", ""Site Discharge Calculation v1.0"", ""Percent Riparian Understory Cover v2.0"", ""Site Revisit v1.0"", ""Riparian Structure v2.0"", ""Pool Tail Fines Grid v2.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""RBT - Bankfull Width Profile Calculation v1.0"", ""Channel Class v1.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Proportion of Reach Containing Eroding Banks v1.0"", ""Percent Fish Cover Calculation v1.0"", ""Undercut Banks v2.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Constraining Feature Type v1.0"", ""Site Layout v2.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""RBT - Site Gradient Calculation v1.0"", ""RBT - Wetted Volume Calculation v1.0"", ""Channel Segment Number v3.0"", ""Bank Erosion v1.0"", ""Measuring Actively Eroding Streambanks v1.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Site Measurement of Alkalinity Calculation v1.0"", ""Percent Big Tree Cover v1.0"", ""Site Map v1.0"", ""RBT - Integrated Wetted Width Calculation v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0"", ""Setting Up Topographic Survey v1.0"", ""Quantifying Artificially Placed Instream Structures (AIS) v1.0"", ""Water Chemistry - Conductivity and Alkalinity v1.0"", ""Large Woody Debris Counts v1.0"", ""Site Measurement of Conductivity Calculation v1.0"", ""Solar Input v2.0"", ""Pool Tail Fines: Particles <2mm and <6mm v1.0"", ""Valley Width v1.0"", ""Measuring channel constraints v1.0"", ""RBT - Thalweg Site Length Calculation v1.0"", ""Hydraulic Modeling of River and Stream Reaches Sampled in the Columbia Habitat and Monitoring Program v1.0"", ""Channel Migration Rate v1.0"", ""Pool/Riffle Ratio v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Log10 Volume of LWD v1.0"", ""Change in Bank Stability v1.0"", ""RBT - Bankfull Area Calculation v1.0"", ""Fish Cover Elements v2.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Summary statistics for Instream Habitat Projects v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""Solar Access Calculation v1.0"", ""Percent Canopy Cover and Percent No Canopy Cover v1.0"", ""Undercut Metrics v1.0"", ""Large Wood Frequency v1.0"", ""Percent Riparian Ground Cover v2.0"", ""Channel Unit Classification v3.0"", ""Water Temperature Probe Installation v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Large Wood Volume Calculation v1.0"", ""Side Channel Calculations v1.0"", ""Bankfull Width Calculation v1.0"", ""Stream Temperature Logger Calculations v1.0"", ""Measuring Individual Large Woody Pieces v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Locating the Site v2.0"", ""RBT - Integrated Bankfull Width Calculation v1.0"", ""Percent Riparian Woody Cover v2.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""Topographic Point Collection v2.0""]"
"""Abundance of Disturbance or Restoration""","""BPA EPT Monitoring Effectiveness of Instream Habitat Projects (ELJs/LWD/Boulders)""","[""Residual pool depth & maximum v1.0"", ""Tally Large Woody Debris v3.0"", ""Modified Thalweg Profile for Barrier Removal Projects v1.0"", ""Calculating Juvenile Salmonid Density from Snorkeling v1.0"", ""Site Layout v2.0"", ""Channel Segment Number v3.0"", ""Site Photos v2.0"", ""Proportion of reach in residual pools v1.0"", ""Longitudinal Profile Mean Square Error v1.0"", ""Total number of pools v1.0"", ""Topographic Point Collection v3.0"", ""Channel Unit Classification v3.0"", ""Tests of Significance: T-Test v1.0"", ""Stream Discharge v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Physical Habitat: Thalweg Profile v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0""]"
"""Abundance of Disturbance or Restoration""","""SRFB - Monitoring Effectiveness of Instream Habitat Projects""","[""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Measuring Slope And Bearing v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Characterizing Stream Morphology, Thalweg Profile v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Electrofishing v1.0"", ""Entering AIS into AIS Dictionary v1.0"", ""Summary statistics for Instream Habitat Projects v1.0"", ""Quantifying Artificially Placed Instream Structures (AIS) v1.0"", ""Measuring Substrate v1.0"", ""Measuring Large Woody Debris (LWD) v1.0""]"
"""Abundance of Disturbance or Restoration""","""BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement and Bank Stabilization Projects""","[""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Estimating Benthic Macroinvertebrate Biomass using Length-Mass Relationships v1.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Percent Constrained v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Large Wood Frequency v1.0"", ""Riparian Structure v2.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Site Layout v2.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Stream Discharge v1.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""Benthic Macroinvertebrates v1.0"", ""Calculating Juvenile Salmonid Density from Snorkeling v1.0"", ""Pool/Riffle Ratio v1.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Measuring Active Streambank Erosion v3.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""Bankfull Width Calculation v1.0"", ""Large Wood Volume Calculation v1.0"", ""Fish Density by Channel Unit and Species v1.0"", ""Fish Cover Elements v2.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Channel Unit Classification v3.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Site Photos v2.0"", ""Fish Counts by Channel Unit Type and by Life Stage, By Species v1.0"", ""Measuring channel constraints v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Electrofishing v1.0"", ""Constraining Feature Type v1.0"", ""Benthic Macroinvertebrate Production by Habitat Type v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Channel Segment Number v3.0"", ""Log10 Volume of LWD v1.0"", ""Pool Tail Fines Grid v2.0"", ""Large Woody Debris Counts v1.0"", ""Site Discharge Calculation v1.0"", ""Topographic Point Collection v3.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Calculating Macroinvertebrate Index of Biological Integrity (IBI) v1.0"", ""Channel Migration Rate v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""Valley Width v1.0"", ""Measuring Individual Large Woody Pieces v1.0""]"
"""Abundance of Disturbance or Restoration""","""BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects (Mill Creek)""","[""Benthic Macroinvertebrates v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Site Discharge Calculation v1.0"", ""Log10 Volume of LWD v1.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0"", ""Valley Width v1.0"", ""Measuring channel constraints v1.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Constraining Feature Type v1.0"", ""Site Layout v2.0"", ""Benthic Macroinvertebrate Production by Habitat Type v1.0"", ""Channel Segment Number v2.0"", ""Stream Discharge v1.0"", ""Channel Migration Rate v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Multimetric Index or Index of Biological Integrity (IBI) v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""Site Photos v2.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Tally Large Woody Debris v3.0"", ""Bankfull Width Calculation v1.0"", ""Channel Unit Classification v2.0"", ""Estimating Benthic Macroinvertebrate Biomass using Length-Mass Relationships v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""Large Woody Debris Counts v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Large Wood Frequency v1.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Pool/Riffle Ratio v1.0"", ""Percent Constrained v1.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""Topographic Point Collection v2.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Large Wood Volume Calculation v1.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0""]"
"""Abundance of Disturbance or Restoration""","""SRFB - Monitoring Effectiveness of Riparian Planting Projects""","[""Measuring Pool Tail Fines v1.0"", ""Quantifying Riparian Plantings v1.0"", ""Measuring Actively Eroding Streambanks v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Summary Statistics for Riparian Planting Projects v1.0""]"
"""Abundance of Disturbance or Restoration""","""BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects""","[""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""Channel Segment Number v3.0"", ""Large Woody Debris Counts v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Pool/Riffle Ratio v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Fish Cover Elements v2.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Site Photos v2.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Channel Migration Rate v1.0"", ""Fish Density by Channel Unit and Species v1.0"", ""Calculating Macroinvertebrate Index of Biological Integrity (IBI) v1.0"", ""Measuring Individual Large Woody Pieces v1.0"", ""Large Wood Frequency v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Bankfull Width Calculation v1.0"", ""Site Layout v2.0"", ""Percent Constrained v1.0"", ""Estimating Benthic Macroinvertebrate Biomass using Length-Mass Relationships v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Log10 Volume of LWD v1.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Valley Width v1.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Electrofishing v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Benthic Macroinvertebrate Production by Habitat Type v1.0"", ""Benthic Macroinvertebrates v1.0"", ""Calculating Juvenile Salmonid Density from Snorkeling v1.0"", ""Measuring channel constraints v1.0"", ""Large Wood Volume Calculation v1.0"", ""Stream Discharge v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Channel Unit Classification v3.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""Topographic Point Collection v3.0"", ""Riparian Structure v2.0"", ""Constraining Feature Type v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Site Discharge Calculation v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Fish Counts by Channel Unit Type and by Life Stage, By Species v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0""]"
